Name,MeasurementUnit,ProductGroup,STOCK,Barcode,Cost,Supplier,Price,Image,SKU, stock minimo,LowStockWarning,PreferredQuantity,WarningQuantity,IsUsingDefaultQuantity
ALMIDON DE MAIZ,Kilogramo,ALMIDONES - PREMEZCLAS - AVENA,29,8197624879623,1410,PUNTO CANDY,3000,,1,2,1,5,2,0
ARROZ 0000,Kilogramo,CEREALES - LEGUMBRES,4,8357284486566,1148.52,BIOMEGA,2800,,2,2,1,5,2,0
ARROZ CARNAROLI,Kilogramo,CEREALES - LEGUMBRES,2,2412301932313,4098,BIOMEGA,6500,,3,1,1,5,2,0
ARROZ INTEGRAL,Kilogramo,CEREALES - LEGUMBRES,5,8357684486562,1546,PUNTO CANDY,3200,,4,1,1,5,2,0
ARROZ KOSHIHIKARI (SUSHI),Kilogramo,CEREALES - LEGUMBRES,0,8565109397717,2280,PUNTO CANDY,5700,,5,1,1,5,2,0
ARROZ YAMANI,Kilogramo,CEREALES - LEGUMBRES,1.85,8378218647518,1920,BIOMEGA,3800,,6,1,1,5,2,0
ARROZ YAMANI INTEGRAL,Kilogramo,CEREALES - LEGUMBRES,1,8682271113478,2260,ORGANICA,5000,,7,1,1,5,2,0
ARVEJA ENTERA,Kilogramo,CEREALES - LEGUMBRES,8.9,8534200013482,786.24,ORGANICA,1800,,8,1,1,5,2,0
ARVEJA PARTIDA,Kilogramo,CEREALES - LEGUMBRES,7.7,8402455658119,1145.2,ORGANICA,2600,,9,1,1,5,2,0
AVENA INSTANTANEA,Kilogramo,ALMIDONES - PREMEZCLAS - AVENA,4.73,8590408676171,1456,PUNTO CANDY,3000,,10,1,1,5,2,0
AVENA TRADICIONAL,Kilogramo,ALMIDONES - PREMEZCLAS - AVENA,26.77,8422138699178,1456,PUNTO CANDY,3000,,11,1,1,5,2,0
CEBADA PERLADA,Kilogramo,CEREALES - LEGUMBRES,7.93,8131209244864,1441.45,ORGANICA,3500,,12,1,1,5,2,0
FARIÑA,Kilogramo,CEREALES - LEGUMBRES,4.99,8032084971244,3326,BIOMEGA,5000,,13,1,1,5,2,0
FECULA DE MANDIOCA,Kilogramo,ALMIDONES - PREMEZCLAS - AVENA,19.34,7811200743337,1190,PUNTO CANDY,3000,,14,1,1,5,2,0
GARBANZO,Kilogramo,CEREALES - LEGUMBRES,2,8159663275064,1435,PUNTO CANDY,3900,,15,1,1,5,2,0
GERMEN DE TRIGO,Kilogramo,CEREALES - LEGUMBRES,6.65,8767325083140,1030,PUNTO CANDY,2700,,16,,1,3,1,0
HARINA DE ALGARROBA,Kilogramo,HARINAS,6,8041357784658,2057,PUNTO CANDY,7000,,17,,1,3,1,0
HARINA DE ALMENDRAS CON PIEL PURA,Kilogramo,HARINAS,2,8757269412519,16075,ORGANICA,25000,,18,,1,3,1,0
HARINA DE ALMENDRAS - REBAJADA,Kilogramo,HARINAS,5,7939314389811,3260,ORGANICA,6300,,19,,1,5,2,0
HARINA DE ALMENDRAS SIN PIEL PURA,Kilogramo,HARINAS,0.8,8338628075820,19090.25,ORGANICA,29000,,20,,1,3,1,0
HARINA DE ARROZ,Kilogramo,HARINAS,2.483,7961971722373,1173,PUNTO CANDY,2900,,21,,1,5,2,0
HARINA DE ARVEJA,Kilogramo,HARINAS,5.2,7946344229314,1500,PUNTO CANDY,5000,,22,,1,2,1,0
HARINA DE AVENA,Kilogramo,HARINAS,2.38,8084940811638,1430,PUNTO CANDY,4000,,23,,1,5,2,0
HARINA DE CENTENO,Kilogramo,HARINAS,11.58,8278984708003,1776.4,ORGANICA,3000,,24,,1,5,2,0
HARINA DE COCO,Kilogramo,HARINAS,5.5,8162992466454,3370,ORGANICA,7000,,25,,1,5,2,0
HARINA DE GARBANZO,Kilogramo,HARINAS,2.6,8162992466447,1008,PUNTO CANDY,2800,,26,,1,5,2,0
HARINA DE LENTEJA,Kilogramo,HARINAS,3.1,8309744757907,1650,PUNTO CANDY,6000,,27,,1,2,1,0
HARINA DE MAIZ,Kilogramo,HARINAS,3.98,8190194743752,580,MAITEN,1900,,28,,1,2,1,0
HARINA DE MAIZ - SOPA PARAGUAYA,Kilogramo,HARINAS,3.05,7898228759373,1150,PUNTO CANDY,2500,,29,,1,5,2,0
HARINA DE MAIZ BLANCO,Kilogramo,HARINAS,3.2,7898228759397,2174,BIOMEGA,3700,,30,,1,2,1,0
